2018/08/24 17:19:29	|	process pid: 242976	|	   24 attempt	|	    0 successful click	|	    1 timeout	|	    23 recaptcha 	|	    0 error
2018/08/24 17:19:35	|	process pid: 242976	|	   25 attempt	|	    0 successful click	|	    1 timeout	|	    24 recaptcha 	|	    0 error
2018/08/24 17:19:42	|	process pid: 242976	|	   26 attempt	|	    0 successful click	|	    1 timeout	|	    25 recaptcha 	|	    0 error
2018/08/24 17:19:48	|	process pid: 242976	|	   27 attempt	|	    0 successful click	|	    1 timeout	|	    26 recaptcha 	|	    0 error
2018/08/24 17:19:54	|	process pid: 242976	|	   28 attempt	|	    0 successful click	|	    1 timeout	|	    27 recaptcha 	|	    0 error
2018/08/24 17:20:13	|	process pid: 242976	|	   29 attempt	|	    0 successful click	|	    1 timeout	|	    28 recaptcha 	|	    0 error
2018/08/24 17:20:19	|	process pid: 242976	|	   30 attempt	|	    0 successful click	|	    1 timeout	|	    29 recaptcha 	|	    0 error
2018/08/24 17:20:25	|	process pid: 242976	|	   31 attempt	|	    0 successful click	|	    1 timeout	|	    30 recaptcha 	|	    0 error
2018/08/24 17:20:30	|	process pid: 242976	|	   32 attempt	|	    0 successful click	|	    1 timeout	|	    31 recaptcha 	|	    0 error
2018/08/24 17:20:36	|	process pid: 242976	|	   33 attempt	|	    0 successful click	|	    1 timeout	|	    32 recaptcha 	|	    0 error
2018/08/24 17:20:41	|	process pid: 242976	|	   34 attempt	|	    0 successful click	|	    1 timeout	|	    33 recaptcha 	|	    0 error
2018/08/24 17:20:50	|	process pid: 242976	|	   35 attempt	|	    0 successful click	|	    1 timeout	|	    34 recaptcha 	|	    0 error
2018/08/24 17:20:55	|	process pid: 242976	|	   36 attempt	|	    0 successful click	|	    1 timeout	|	    35 recaptcha 	|	    0 error
2018/08/24 17:21:13	|	process pid: 242976	|	   37 attempt	|	    0 successful click	|	    1 timeout	|	    36 recaptcha 	|	    0 error
2018/08/24 17:21:19	|	process pid: 242976	|	   38 attempt	|	    0 successful click	|	    1 timeout	|	    37 recaptcha 	|	    0 error
2018/08/24 17:21:24	|	process pid: 242976	|	   39 attempt	|	    0 successful click	|	    1 timeout	|	    38 recaptcha 	|	    0 error
2018/08/24 17:21:30	|	process pid: 242976	|	   40 attempt	|	    0 successful click	|	    1 timeout	|	    39 recaptcha 	|	    0 error
2018/08/24 17:21:38	|	process pid: 242976	|	   41 attempt	|	    0 successful click	|	    1 timeout	|	    40 recaptcha 	|	    0 error
2018/08/24 17:21:43	|	process pid: 242976	|	   42 attempt	|	    0 successful click	|	    1 timeout	|	    41 recaptcha 	|	    0 error
2018/08/24 17:21:49	|	process pid: 242976	|	   43 attempt	|	    0 successful click	|	    1 timeout	|	    42 recaptcha 	|	    0 error
2018/08/24 17:21:54	|	process pid: 242976	|	   44 attempt	|	    0 successful click	|	    1 timeout	|	    43 recaptcha 	|	    0 error
2018/08/24 17:22:12	|	process pid: 242976	|	   45 attempt	|	    0 successful click	|	    1 timeout	|	    44 recaptcha 	|	    0 error
2018/08/24 17:22:18	|	process pid: 242976	|	   46 attempt	|	    0 successful click	|	    1 timeout	|	    45 recaptcha 	|	    0 error
2018/08/24 17:22:25	|	process pid: 242976	|	   47 attempt	|	    0 successful click	|	    1 timeout	|	    46 recaptcha 	|	    0 error
2018/08/24 17:22:31	|	process pid: 242976	|	   48 attempt	|	    0 successful click	|	    1 timeout	|	    47 recaptcha 	|	    0 error
2018/08/24 17:22:36	|	process pid: 242976	|	   49 attempt	|	    0 successful click	|	    1 timeout	|	    48 recaptcha 	|	    0 error
2018/08/24 17:22:42	|	process pid: 242976	|	   50 attempt	|	    0 successful click	|	    1 timeout	|	    49 recaptcha 	|	    0 error
2018/08/24 17:22:48	|	process pid: 242976	|	   51 attempt	|	    0 successful click	|	    1 timeout	|	    50 recaptcha 	|	    0 error
2018/08/24 17:25:30	|	process pid: 92280 	|	    1 attempt	|	    0 successful click	|	    0 timeout	|	     1 recaptcha 	|	    0 error
2018/08/24 17:25:52	|	process pid: 92280 	|	    2 attempt	|	    0 successful click	|	    0 timeout	|	     2 recaptcha 	|	    0 error
2018/08/24 17:26:15	|	process pid: 92280 	|	    3 attempt	|	    0 successful click	|	    0 timeout	|	     3 recaptcha 	|	    0 error
2018/08/24 17:26:37	|	process pid: 92280 	|	    4 attempt	|	    0 successful click	|	    0 timeout	|	     4 recaptcha 	|	    0 error
2018/10/07 13:16:49	|	process pid: 15768 	|	    4 attempt	|	    0 successful click	|	    0 timeout	|	     1 recaptcha 	|	    3 error
2018/10/07 13:17:17	|	process pid: 15768 	|	    6 attempt	|	    0 successful click	|	    0 timeout	|	     2 recaptcha 	|	    4 error
2018/10/07 13:22:13	|	process pid: 17360 	|	    1 attempt	|	    0 successful click	|	    0 timeout	|	     1 recaptcha 	|	    0 error
2018/10/07 13:22:21	|	process pid: 17360 	|	    2 attempt	|	    0 successful click	|	    0 timeout	|	     2 recaptcha 	|	    0 error
2018/10/07 13:22:28	|	process pid: 17360 	|	    3 attempt	|	    0 successful click	|	    0 timeout	|	     3 recaptcha 	|	    0 error
2018/10/07 13:22:36	|	process pid: 17360 	|	    4 attempt	|	    0 successful click	|	    0 timeout	|	     4 recaptcha 	|	    0 error
2018/10/07 13:22:44	|	process pid: 17360 	|	    5 attempt	|	    0 successful click	|	    0 timeout	|	     5 recaptcha 	|	    0 error
2018/10/07 13:36:16	|	process pid: 11680 	|	    1 attempt	|	    0 successful click	|	    0 timeout	|	     1 recaptcha 	|	    0 error
2018/10/07 13:36:23	|	process pid: 11680 	|	    2 attempt	|	    0 successful click	|	    0 timeout	|	     2 recaptcha 	|	    0 error
2018/10/07 13:36:31	|	process pid: 11680 	|	    3 attempt	|	    0 successful click	|	    0 timeout	|	     3 recaptcha 	|	    0 error
2018/10/07 13:36:42	|	process pid: 11680 	|	    4 attempt	|	    0 successful click	|	    0 timeout	|	     4 recaptcha 	|	    0 error
2018/10/07 13:36:50	|	process pid: 11680 	|	    5 attempt	|	    0 successful click	|	    0 timeout	|	     5 recaptcha 	|	    0 error
2018/10/07 13:37:19	|	process pid: 11680 	|	    6 attempt	|	    1 successful click	|	    0 timeout	|	     5 recaptcha 	|	    0 error
2018/10/07 13:37:53	|	process pid: 11680 	|	    7 attempt	|	    2 successful click	|	    0 timeout	|	     5 recaptcha 	|	    0 error
2018/10/07 13:38:05	|	process pid: 11680 	|	    8 attempt	|	    2 successful click	|	    0 timeout	|	     6 recaptcha 	|	    0 error
2018/10/07 13:38:24	|	process pid: 11680 	|	    9 attempt	|	    3 successful click	|	    0 timeout	|	     6 recaptcha 	|	    0 error
2018/10/07 13:38:36	|	process pid: 11680 	|	   10 attempt	|	    3 successful click	|	    0 timeout	|	     7 recaptcha 	|	    0 error
2018/10/07 13:38:44	|	process pid: 11680 	|	   11 attempt	|	    3 successful click	|	    0 timeout	|	     8 recaptcha 	|	    0 error
2018/10/07 13:39:03	|	process pid: 11680 	|	   12 attempt	|	    4 successful click	|	    0 timeout	|	     8 recaptcha 	|	    0 error
2018/10/07 13:39:33	|	process pid: 11680 	|	   13 attempt	|	    5 successful click	|	    0 timeout	|	     8 recaptcha 	|	    0 error
2018/10/07 13:39:45	|	process pid: 11680 	|	   14 attempt	|	    5 successful click	|	    0 timeout	|	     9 recaptcha 	|	    0 error
